,Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties,pop_weighted
3552,2021,CA,California,Nevada,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,27.5,,,21.1,34.7,103487,6057,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-120.7713429 39.2975082),1173.0,2845892.5
4728,2021,CA,California,Orange,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,25.3,,,21.3,29.7,3167809,6059,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-117.7772068 33.6756872),1174.0,80145567.7
15452,2021,CA,California,Placer,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,26.3,,,20.8,32.5,412300,6061,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-120.7227181 39.0620323),1175.0,10843490.0
14707,2021,CA,California,Plumas,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,29.5,,,22.2,37.6,19915,6063,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-120.8243709 39.9922953),1176.0,587492.5
16210,2021,CA,California,Riverside,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,36.2,,,31.3,41.5,2458395,6065,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-116.0022389 33.7298275),1177.0,88993899.0
9654,2021,CA,California,Sacramento,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,31.7,,,27.2,37.0,1588921,6067,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-121.3443291 38.4501363),77.0,50368795.699999996
12626,2021,CA,California,San Benito,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,31.0,,,23.7,38.9,66677,6069,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-121.0858108 36.6116507),1178.0,2066987.0
17400,2021,CA,California,San Bernardino,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,38.1,,,33.5,43.5,2194710,6071,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-116.1815707 34.8566615),78.0,83618451.0
8596,2021,CA,California,San Diego,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,23.9,,,20.2,28.0,3286069,6073,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-116.7761174 33.0236041),1179.0,78537049.1
16998,2021,CA,California,San Francisco,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,18.7,,,14.8,22.8,815201,6075,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-123.0322294 37.7272391),,15244258.7
3885,2021,CA,California,San Joaquin,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,33.3,,,27.3,39.9,789410,6077,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-121.272244 37.9349815),1181.0,26287352.999999996
16927,2021,CA,California,San Luis Obispo,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,30.5,,,23.9,37.3,283159,6079,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-120.4488974 35.3881891),1332.0,8636349.5
1752,2021,CA,California,San Mateo,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,21.0,,,16.7,26.0,737888,6081,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-122.3715457 37.4146725),1333.0,15495648.0
17536,2021,CA,California,Santa Barbara,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,30.1,,,23.8,37.0,446475,6083,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-120.0383645 34.5366774),79.0,13438897.5
1905,2021,CA,California,Santa Clara,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,18.5,,,15.2,22.3,1885508,6085,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-121.6895401 37.2216142),1334.0,34881898.0
14491,2021,CA,California,Santa Cruz,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,25.2,,,19.7,31.5,267792,6087,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-122.0077889 37.0123466),1335.0,6748358.399999999
7421,2021,CA,California,Shasta,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,30.9,,,24.2,38.4,182139,6089,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-122.0435558 40.7605142),80.0,5628095.1
5254,2021,CA,California,Sierra,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,29.8,,,22.5,37.7,3283,6091,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-120.5219926 39.5769252),1336.0,97833.40000000001
7456,2021,CA,California,Siskiyou,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,32.8,,,25.5,40.7,44118,6093,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-122.5332868 41.5879861),1337.0,1447070.4
9815,2021,CA,California,Solano,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,29.9,,,23.6,36.4,451716,6095,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-121.939594 38.2672255),1338.0,13506308.399999999
9779,2021,CA,California,Sonoma,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,28.6,,,22.8,35.0,485887,6097,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-122.9261095 38.5251824),1339.0,13896368.200000001
5489,2021,CA,California,Stanislaus,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,34.8,,,28.5,42.2,552999,6099,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-121.0028311 37.5623162),1340.0,19244365.2
17290,2021,CA,California,Sutter,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,31.6,,,24.6,39.2,99063,6101,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-121.7039397 39.0361898),1438.0,3130390.8000000003
3592,2021,CA,California,Tehama,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,34.2,,,26.6,42.7,65498,6103,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-122.2322737 40.1261573),1389.0,2240031.6
17282,2021,CA,California,Trinity,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,33.0,,,25.2,41.8,16060,6105,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-123.114666 40.6478582),1390.0,529980.0
6959,2021,CA,California,Tulare,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,35.5,,,29.0,42.8,477054,6107,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-118.7810551 36.2288339),81.0,16935417.0
22491,2021,CA,California,Tuolumne,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,29.5,,,22.6,37.1,55810,6109,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-119.9647335 38.0214344),1391.0,1646395.0
25818,2021,CA,California,Ventura,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,27.0,,,21.7,33.0,839784,6111,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-119.1331453 34.3587477),1392.0,22674168.0
28491,2021,CA,California,Yolo,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,27.8,,,22.0,34.2,216986,6113,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-121.90275 38.6796091),1393.0,6032210.8
30507,2021,CA,California,Yuba,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,33.9,,,26.6,41.8,83421,6115,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-121.3442587 39.27013),1394.0,2827971.9
24463,2021,CO,Colorado,Adams,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,31.3,,,27.4,35.4,522140,8001,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-104.3318718 39.8743252),82.0,16342982.0
26495,2021,CO,Colorado,Alamosa,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,30.4,,,23.3,38.1,16547,8003,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-105.7880414 37.5684423),83.0,503028.8
20400,2021,CO,Colorado,Arapahoe,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,25.2,,,21.8,28.9,654900,8005,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-104.3317065 39.6445537),1395.0,16503480.0
24103,2021,CO,Colorado,Archuleta,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,24.6,,,18.6,31.3,13790,8007,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-107.0508634 37.2023952),1396.0,339234.0
32780,2021,CO,Colorado,Baca,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,28.8,,,21.6,36.6,3514,8009,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-102.5437412 37.3097802),1397.0,101203.2
28840,2021,CO,Colorado,Bent,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,32.9,,,25.7,40.9,5759,8011,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-103.0775841 37.9318907),84.0,189471.1
33593,2021,CO,Colorado,Boulder,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,17.4,,,14.4,20.6,329543,8013,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-105.3977045 40.0949619),85.0,5734048.199999999
24148,2021,CO,Colorado,Broomfield,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,25.8,,,20.6,31.2,75325,8014,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-105.0507868 39.9535933),86.0,1943385.0
24206,2021,CO,Colorado,Chaffee,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,24.7,,,19.0,31.3,20074,8015,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-106.3000246 38.7345986),1398.0,495827.8
29010,2021,CO,Colorado,Cheyenne,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,26.4,,,19.8,33.9,1707,8017,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-102.6017914 38.8356456),1399.0,45064.799999999996
24401,2021,CO,Colorado,Clear Creek,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,23.7,,,17.4,30.7,9446,8019,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-105.6707833 39.6894025),1439.0,223870.19999999998
26100,2021,CO,Colorado,Conejos,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,30.4,,,23.3,38.3,7612,8021,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-106.1764473 37.2134065),1440.0,231404.8
32919,2021,CO,Colorado,Costilla,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,31.7,,,24.6,39.3,3625,8023,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-105.4289399 37.2775474),1441.0,114912.5
25877,2021,CO,Colorado,Crowley,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,32.7,,,25.0,41.1,6012,8025,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-103.7727363 38.3061801),87.0,196592.40000000002
23915,2021,CO,Colorado,Custer,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,24.4,,,17.9,31.6,5045,8027,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-105.3735123 38.1019955),1442.0,123098.0
26137,2021,CO,Colorado,Delta,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,27.3,,,21.6,33.7,31661,8029,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-107.8648924 38.8615949),1443.0,864345.3
24423,2021,CO,Colorado,Denver,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,22.0,,,18.9,25.3,711463,8031,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-104.8811054 39.7618502),1444.0,15652186.0
33591,2021,CO,Colorado,Dolores,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,26.0,,,19.3,33.4,2397,8033,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-108.5062192 37.7338227),1445.0,62322.0
29126,2021,CO,Colorado,Douglas,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,23.0,,,19.0,27.1,368990,8035,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-104.9259871 39.325414),3133.0,8486770.0
24166,2021,CO,Colorado,Eagle,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,21.2,,,16.2,26.9,55727,8037,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-106.6951694 39.6269919),1446.0,1181412.4
23805,2021,CO,Colorado,Elbert,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,23.0,,,17.3,29.1,27128,8039,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-104.1140759 39.3151572),88.0,623944.0
23977,2021,CO,Colorado,El Paso,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,28.1,,,24.7,31.5,737867,8041,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-104.5274718 38.8273831),1447.0,20734062.7
25581,2021,CO,Colorado,Fremont,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,29.1,,,22.9,36.0,49661,8043,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-105.4249582 38.4551697),1448.0,1445135.1
21838,2021,CO,Colorado,Garfield,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,25.0,,,19.9,30.8,62161,8045,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-107.9097802 39.5993517),1449.0,1554025.0
23376,2021,CO,Colorado,Gilpin,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,25.3,,,19.2,32.2,5873,8047,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-105.5288778 39.8611555),89.0,148586.9
35462,2021,CO,Colorado,Grand,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,22.3,,,16.8,28.6,15860,8049,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-106.1108366 40.1130652),1450.0,353678.0
18466,2021,CO,Colorado,Gunnison,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,24.0,,,18.4,30.1,17281,8051,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-107.0568798 38.6704993),1005.0,414744.0
31364,2021,CO,Colorado,Hinsdale,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,24.3,,,17.9,31.5,781,8053,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-107.3839736 37.8115187),28.0,18978.3
23040,2021,CO,Colorado,Huerfano,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,28.8,,,22.1,35.6,6920,8055,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-104.9599278 37.6878154),1006.0,199296.0
34699,2021,CO,Colorado,Jackson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,28.0,,,21.2,35.6,1363,8057,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-106.3292476 40.6634319),1007.0,38164.0
33311,2021,CO,Colorado,Jefferson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,24.1,,,20.9,27.6,579581,8059,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-105.245462 39.5795106),1008.0,13967902.100000001
21510,2021,CO,Colorado,Kiowa,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,28.2,,,21.4,36.0,1452,8061,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-102.7568494 38.387663),29.0,40946.4
24453,2021,CO,Colorado,Kit Carson,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,30.5,,,23.0,38.2,6950,8063,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-102.6030226 39.3053399),1009.0,211975.0
24655,2021,CO,Colorado,Lake,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,23.7,,,17.7,30.7,7407,8065,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-106.350079 39.2053405),1010.0,175545.9
23692,2021,CO,Colorado,La Plata,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,21.5,,,16.9,26.7,56250,8067,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-107.8397178 37.2873673),1011.0,1209375.0
24193,2021,CO,Colorado,Larimer,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,24.8,,,21.2,28.8,362533,8069,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-105.4867638 40.6580933),1012.0,8990818.4
34976,2021,CO,Colorado,Las Animas,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,31.0,,,24.3,38.4,14633,8071,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-104.0441103 37.3188308),1013.0,453623.0
24855,2021,CO,Colorado,Lincoln,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,29.6,,,22.6,37.5,5688,8073,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-103.5075545 38.9937401),30.0,168364.80000000002
31979,2021,CO,Colorado,Logan,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,30.5,,,24.3,37.3,21487,8075,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-103.0904639 40.7280911),1014.0,655353.5
25210,2021,CO,Colorado,Mesa,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,28.9,,,24.4,34.0,157335,8077,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-108.4605707 39.019524),1015.0,4546981.5
35658,2021,CO,Colorado,Mineral,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,23.3,,,17.2,30.2,924,8079,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-107.003236 37.5490672),31.0,21529.2
25509,2021,CO,Colorado,Moffat,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,28.8,,,22.2,36.7,13185,8081,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-108.2171545 40.6108644),1016.0,379728.0
33931,2021,CO,Colorado,Montezuma,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,27.1,,,21.2,34.8,26175,8083,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-108.5957864 37.3380247),1058.0,709342.5
35030,2021,CO,Colorado,Montrose,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,25.9,,,19.9,32.1,43168,8085,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-108.2662815 38.4075069),32.0,1118051.2
20476,2021,CO,Colorado,Morgan,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,28.5,,,22.3,35.2,29008,8087,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-103.8122102 40.263159),1059.0,826728.0
26794,2021,CO,Colorado,Otero,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,33.5,,,26.4,41.3,18594,8089,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-103.7212597 37.8841698),1060.0,622899.0
25629,2021,CO,Colorado,Ouray,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,23.3,,,17.4,29.9,5035,8091,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-107.7884802 38.1547313),1061.0,117315.5
25870,2021,CO,Colorado,Park,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,24.6,,,18.8,31.1,17720,8093,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-105.7176479 39.1189141),1062.0,435912.0
29629,2021,CO,Colorado,Phillips,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,28.6,,,21.6,36.4,4512,8095,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-102.3451047 40.5947117),33.0,129043.20000000001
34134,2021,CO,Colorado,Pitkin,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,19.7,,,14.8,25.5,17348,8097,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-106.9161621 39.2175407),1063.0,341755.6
35646,2021,CO,Colorado,Prowers,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,29.4,,,22.8,37.2,11996,8099,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-102.3921613 37.9581814),1064.0,352682.39999999997
20540,2021,CO,Colorado,Pueblo,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,36.1,,,31.2,41.3,169622,8101,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-104.4846683 38.1627652),34.0,6123354.2
23291,2021,CO,Colorado,Rio Blanco,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,27.2,,,20.4,34.4,6476,8103,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-108.2007155 39.9726223),1065.0,176147.19999999998
32045,2021,CO,Colorado,Rio Grande,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,26.8,,,20.5,33.8,11408,8105,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-106.453128 37.4858534),35.0,305734.4
25898,2021,CO,Colorado,Routt,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,20.9,,,15.7,26.9,25091,8107,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-106.9877021 40.4836638),1066.0,524401.8999999999
29762,2021,CO,Colorado,Saguache,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,28.5,,,21.5,36.0,6471,8109,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-106.2346662 38.0316514),1067.0,184423.5
18541,2021,CO,Colorado,San Juan,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,25.2,,,19.1,32.2,733,8111,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-107.6702567 37.7810492),1068.0,18471.6
32533,2021,CO,Colorado,San Miguel,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,24.8,,,18.7,31.6,8074,8113,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-108.4272635 38.009319),1069.0,200235.2
25038,2021,CO,Colorado,Sedgwick,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,28.5,,,21.7,36.0,2336,8115,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-102.3553579 40.8715679),36.0,66576.0
30218,2021,CO,Colorado,Summit,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,21.3,,,16.1,27.0,30941,8117,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-106.1375545 39.6210227),1070.0,659043.3
27531,2021,CO,Colorado,Teller,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,26.0,,,19.9,32.6,24926,8119,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-105.1873651 38.8699759),1071.0,648076.0
19266,2021,CO,Colorado,Washington,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,28.0,,,21.5,35.4,4861,8121,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-103.2097445 39.9657899),37.0,136108.0
32261,2021,CO,Colorado,Weld,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,28.7,,,24.8,33.1,340036,8123,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-104.383666 40.555961),1072.0,9759033.2
30796,2021,CO,Colorado,Yuma,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,29.1,,,22.6,36.4,9941,8125,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-102.4216491 40.0007703),1073.0,289283.10000000003
34254,2021,CT,Connecticut,Fairfield,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,24.9,,,21.3,28.8,959768,9001,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-73.3670614 41.2274128),1040.0,23898223.2
24718,2021,CT,Connecticut,Hartford,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,33.4,,,29.4,38.1,896854,9003,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-72.7329157 41.8060534),1041.0,29954923.599999998
31593,2021,CT,Connecticut,Litchfield,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,26.9,,,22.6,31.4,185000,9005,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-73.2354042 41.7918833),1042.0,4976500.0
27729,2021,CT,Connecticut,Middlesex,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,31.0,,,26.4,35.8,164759,9007,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-72.5227802 41.4330028),1043.0,5107529.0
30517,2021,CT,Connecticut,New Haven,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,31.4,,,27.4,36.4,863700,9009,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-72.9002033 41.3497185),1044.0,27120180.0
34379,2021,CT,Connecticut,New London,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,31.0,,,26.5,36.1,268805,9011,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-72.1086339 41.4726517),1045.0,8332955.0
